"id","city_id","code","name","created_at","updated_at"
"1","1","012801001","Adams (Pob.)","2023-04-14 04:23:37.929496","2023-04-14 04:23:37.929496"
"2","2","012802001","Bani","2023-04-14 04:23:37.944849","2023-04-14 04:23:37.944849"
"3","2","012802002","Buyon","2023-04-14 04:23:37.962207","2023-04-14 04:23:37.962207"
"4","2","012802003","Cabaruan","2023-04-14 04:23:37.976062","2023-04-14 04:23:37.976062"
"5","2","012802004","Cabulalaan","2023-04-14 04:23:37.987063","2023-04-14 04:23:37.987063"
"6","2","012802005","Cabusligan","2023-04-14 04:23:38.000252","2023-04-14 04:23:38.000252"
"7","2","012802006","Cadaratan","2023-04-14 04:23:38.014664","2023-04-14 04:23:38.014664"
"8","2","012802007","Calioet-Libong","2023-04-14 04:23:38.031442","2023-04-14 04:23:38.031442"
"9","2","012802008","Casilian","2023-04-14 04:23:38.048454","2023-04-14 04:23:38.048454"
"10","2","012802009","Corocor","2023-04-14 04:23:38.061079","2023-04-14 04:23:38.061079"
"11","2","012802011","Duripes","2023-04-14 04:23:38.072886","2023-04-14 04:23:38.072886"
"12","2","012802012","Ganagan","2023-04-14 04:23:38.082842","2023-04-14 04:23:38.082842"
"13","2","012802013","Libtong","2023-04-14 04:23:38.098903","2023-04-14 04:23:38.098903"
"14","2","012802014","Macupit","2023-04-14 04:23:38.113386","2023-04-14 04:23:38.113386"
"15","2","012802015","Nambaran","2023-04-14 04:23:38.127325","2023-04-14 04:23:38.127325"
"16","2","012802016","Natba","2023-04-14 04:23:38.142116","2023-04-14 04:23:38.142116"
"17","2","012802017","Paninaan","2023-04-14 04:23:38.152136","2023-04-14 04:23:38.152136"
"18","2","012802018","Pasiocan","2023-04-14 04:23:38.166594","2023-04-14 04:23:38.166594"
"19","2","012802019","Pasngal","2023-04-14 04:23:38.177374","2023-04-14 04:23:38.177374"
"20","2","012802020","Pipias","2023-04-14 04:23:38.192679","2023-04-14 04:23:38.192679"
"21","2","012802021","Pulangi","2023-04-14 04:23:38.202158","2023-04-14 04:23:38.202158"
"22","2","012802022","Pungto","2023-04-14 04:23:38.216276","2023-04-14 04:23:38.216276"
"23","2","012802024","San Agustin I (Pob.)","2023-04-14 04:23:38.227608","2023-04-14 04:23:38.227608"
"24","2","012802025","San Agustin II (Pob.)","2023-04-14 04:23:38.241566","2023-04-14 04:23:38.241566"
"25","2","012802027","San Andres I (Pob.)","2023-04-14 04:23:38.273844","2023-04-14 04:23:38.273844"
"26","2","012802028","San Andres II (Pob.)","2023-04-14 04:23:38.301203","2023-04-14 04:23:38.301203"
"27","2","012802030","San Gabriel I (Pob.)","2023-04-14 04:23:38.320405","2023-04-14 04:23:38.320405"
"28","2","012802031","San Gabriel II (Pob.)","2023-04-14 04:23:38.338518","2023-04-14 04:23:38.338518"
"29","2","012802033","San Pedro I (Pob.)","2023-04-14 04:23:38.350966","2023-04-14 04:23:38.350966"
"30","2","012802034","San Pedro II (Pob.)","2023-04-14 04:23:38.366206","2023-04-14 04:23:38.366206"
"31","2","012802036","San Roque I (Pob.)","2023-04-14 04:23:38.380721","2023-04-14 04:23:38.380721"
"32","2","012802037","San Roque II (Pob.)","2023-04-14 04:23:38.396908","2023-04-14 04:23:38.396908"
"33","2","012802039","San Simon I (Pob.)","2023-04-14 04:23:38.410335","2023-04-14 04:23:38.410335"
"34","2","012802040","San Simon II (Pob.)","2023-04-14 04:23:38.421691","2023-04-14 04:23:38.421691"
"35","2","012802041","San Vicente (Pob.)","2023-04-14 04:23:38.434440","2023-04-14 04:23:38.434440"
"36","2","012802042","Sangil","2023-04-14 04:23:38.448258","2023-04-14 04:23:38.448258"
"37","2","012802044","Santa Filomena I (Pob.)","2023-04-14 04:23:38.463565","2023-04-14 04:23:38.463565"
"38","2","012802045","Santa Filomena II (Pob.)","2023-04-14 04:23:38.473026","2023-04-14 04:23:38.473026"
"39","2","012802046","Santa Rita (Pob.)","2023-04-14 04:23:38.484708","2023-04-14 04:23:38.484708"
"40","2","012802047","Santo Cristo I (Pob.)","2023-04-14 04:23:38.496230","2023-04-14 04:23:38.496230"
"41","2","012802048","Santo Cristo II (Pob.)","2023-04-14 04:23:38.507756","2023-04-14 04:23:38.507756"
"42","2","012802050","Tambidao","2023-04-14 04:23:38.519150","2023-04-14 04:23:38.519150"
"43","2","012802051","Teppang","2023-04-14 04:23:38.532812","2023-04-14 04:23:38.532812"
"44","2","012802052","Tubburan","2023-04-14 04:23:38.545973","2023-04-14 04:23:38.545973"
"45","3","012803001","Alay-Nangbabaan","2023-04-14 04:23:38.562542","2023-04-14 04:23:38.562542"
"46","3","012803002","Alogoog","2023-04-14 04:23:38.573318","2023-04-14 04:23:38.573318"
"47","3","012803003","Ar-arusip","2023-04-14 04:23:38.585786","2023-04-14 04:23:38.585786"
"48","3","012803004","Aring","2023-04-14 04:23:38.598824","2023-04-14 04:23:38.598824"
"49","3","012803005","Balbaldez","2023-04-14 04:23:38.614501","2023-04-14 04:23:38.614501"
"50","3","012803006","Bato","2023-04-14 04:23:38.628752","2023-04-14 04:23:38.628752"
